GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371045002,060371045002,"Block Group 2, Census Tract 1045, Los Angeles County, California",12,13,4,7,4,7,0,12,0,12,0,12,8,10,8,10,0,12
1500000US060371046101,060371046101,"Block Group 1, Census Tract 1046.10, Los Angeles County, California",13,15,0,12,0,12,0,12,0,12,0,12,13,15,8,13,5,8
1500000US060371046102,060371046102,"Block Group 2, Census Tract 1046.10, Los Angeles County, California",9,13,9,13,9,13,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371046201,060371046201,"Block Group 1, Census Tract 1046.20, Los Angeles County, California",6,9,6,9,6,9,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371046202,060371046202,"Block Group 2, Census Tract 1046.20, Los Angeles County, California",10,15,10,15,0,12,10,15,10,15,0,12,0,12,0,12,0,12
1500000US060371047011,060371047011,"Block Group 1, Census Tract 1047.01, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371047012,060371047012,"Block Group 2, Census Tract 1047.01, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371047013,060371047013,"Block Group 3, Census Tract 1047.01, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371047031,060371047031,"Block Group 1, Census Tract 1047.03, Los Angeles County, California",19,23,0,12,0,12,0,12,0,12,0,12,19,23,19,23,0,12
1500000US060371047032,060371047032,"Block Group 2, Census Tract 1047.03, Los Angeles County, California",18,19,13,17,13,17,0,12,0,12,0,12,5,8,5,8,0,12
1500000US060371047041,060371047041,"Block Group 1, Census Tract 1047.04, Los Angeles County, California",111,45,37,27,26,22,11,14,4,8,7,10,74,43,27,24,47,41
1500000US060371048101,060371048101,"Block Group 1, Census Tract 1048.10, Los Angeles County, California",5,8,5,8,5,8,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371048102,060371048102,"Block Group 2, Census Tract 1048.10, Los Angeles County, California",22,28,22,28,0,12,22,28,0,12,22,28,0,12,0,12,0,12
1500000US060371048103,060371048103,"Block Group 3, Census Tract 1048.10, Los Angeles County, California",23,28,23,28,23,28,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371048211,060371048211,"Block Group 1, Census Tract 1048.21, Los Angeles County, California",99,55,26,31,26,31,0,12,0,12,0,12,73,51,24,22,49,47
1500000US060371048212,060371048212,"Block Group 2, Census Tract 1048.21, Los Angeles County, California",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371048221,060371048221,"Block Group 1, Census Tract 1048.22, Los Angeles County, California",35,26,8,13,8,13,0,12,0,12,0,12,27,24,27,24,0,12
1500000US060371060101,060371060101,"Block Group 1, Census Tract 1060.10, Los Angeles County, California",242,57,160,52,124,40,36,37,13,20,23,30,82,38,57,29,25,24
1500000US060371060201,060371060201,"Block Group 1, Census Tract 1060.20, Los Angeles County, California",104,39,80,45,72,43,8,13,0,12,8,13,24,22,18,19,6,10
1500000US060371060202,060371060202,"Block Group 2, Census Tract 1060.20, Los Angeles County, California",253,72,153,50,119,42,34,27,16,18,18,19,100,55,96,54,4,9
1500000US060371061111,060371061111,"Block Group 1, Census Tract 1061.11, Los Angeles County, California",261,79,142,69,105,55,37,47,10,16,27,43,119,61,85,53,34,27
1500000US060371061112,060371061112,"Block Group 2, Census Tract 1061.11, Los Angeles County, California",157,62,119,56,98,52,21,20,13,17,8,12,38,25,28,20,10,13
1500000US060371061121,060371061121,"Block Group 1, Census Tract 1061.12, Los Angeles County, California",115,63,75,42,46,27,29,28,0,12,29,28,40,47,40,47,0,12
1500000US060371061122,060371061122,"Block Group 2, Census Tract 1061.12, Los Angeles County, California",221,59,186,59,166,63,20,19,13,15,7,13,35,23,29,21,6,10
1500000US060371061131,060371061131,"Block Group 1, Census Tract 1061.13, Los Angeles County, California",146,50,113,47,90,44,23,18,6,9,17,16,33,25,33,25,0,12
1500000US060371061132,060371061132,"Block Group 2, Census Tract 1061.13, Los Angeles County, California",70,32,45,27,40,26,5,7,0,12,5,7,25,18,25,18,0,12
1500000US060371061141,060371061141,"Block Group 1, Census Tract 1061.14, Los Angeles County, California",155,70,101,60,42,35,59,48,40,44,19,20,54,43,54,43,0,12
1500000US060371061142,060371061142,"Block Group 2, Census Tract 1061.14, Los Angeles County, California",16,18,9,14,9,14,0,12,0,12,0,12,7,11,7,11,0,12
1500000US060371064031,060371064031,"Block Group 1, Census Tract 1064.03, Los Angeles County, California",50,20,27,16,17,12,10,11,0,12,10,11,23,15,16,11,7,10
1500000US060371064032,060371064032,"Block Group 2, Census Tract 1064.03, Los Angeles County, California",15,12,11,10,6,8,5,7,0,12,5,7,4,6,4,6,0,12
1500000US060371064033,060371064033,"Block Group 3, Census Tract 1064.03, Los Angeles County, California",39,22,23,16,7,9,16,15,0,12,16,15,16,13,16,13,0,12
1500000US060371064051,060371064051,"Block Group 1, Census Tract 1064.05, Los Angeles County, California",62,57,31,40,0,12,31,40,0,12,31,40,31,41,7,11,24,39
1500000US060371064052,060371064052,"Block Group 2, Census Tract 1064.05, Los Angeles County, California",106,53,50,36,15,19,35,32,35,32,0,12,56,34,48,31,8,12
1500000US060371064053,060371064053,"Block Group 3, Census Tract 1064.05, Los Angeles County, California",44,40,8,15,0,12,8,15,0,12,8,15,36,37,36,37,0,12
1500000US060371064061,060371064061,"Block Group 1, Census Tract 1064.06, Los Angeles County, California",370,93,238,95,139,73,99,69,43,47,56,53,132,57,111,49,21,25
1500000US060371064062,060371064062,"Block Group 2, Census Tract 1064.06, Los Angeles County, California",52,42,52,42,42,39,10,15,0,12,10,15,0,12,0,12,0,12
1500000US060371064063,060371064063,"Block Group 3, Census Tract 1064.06, Los Angeles County, California",77,36,26,29,26,29,0,12,0,12,0,12,51,30,51,30,0,12
1500000US060371064071,060371064071,"Block Group 1, Census Tract 1064.07, Los Angeles County, California",80,41,0,12,0,12,0,12,0,12,0,12,80,41,14,16,66,39
1500000US060371064072,060371064072,"Block Group 2, Census Tract 1064.07, Los Angeles County, California",114,50,83,49,27,27,56,43,12,18,44,39,31,20,31,20,0,12
1500000US060371064081,060371064081,"Block Group 1, Census Tract 1064.08, Los Angeles County, California",73,36,30,24,22,22,8,10,0,12,8,10,43,30,36,28,7,11
1500000US060371064082,060371064082,"Block Group 2, Census Tract 1064.08, Los Angeles County, California",8,11,8,11,8,11,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371065101,060371065101,"Block Group 1, Census Tract 1065.10, Los Angeles County, California",76,43,52,42,52,42,0,12,0,12,0,12,24,19,24,19,0,12
1500000US060371065102,060371065102,"Block Group 2, Census Tract 1065.10, Los Angeles County, California",142,63,103,52,75,36,28,34,20,32,8,12,39,38,25,30,14,21
1500000US060371065103,060371065103,"Block Group 3, Census Tract 1065.10, Los Angeles County, California",228,79,119,55,105,50,14,22,0,12,14,22,109,65,62,51,47,37
1500000US060371065201,060371065201,"Block Group 1, Census Tract 1065.20, Los Angeles County, California",125,54,90,48,76,46,14,18,14,18,0,12,35,23,27,20,8,12
1500000US060371065202,060371065202,"Block Group 2, Census Tract 1065.20, Los Angeles County, California",109,46,67,36,29,26,38,30,0,12,38,30,42,31,30,24,12,18
1500000US060371065203,060371065203,"Block Group 3, Census Tract 1065.20, Los Angeles County, California",34,34,34,34,7,12,27,31,18,29,9,13,0,12,0,12,0,12
1500000US060371066031,060371066031,"Block Group 1, Census Tract 1066.03, Los Angeles County, California",275,61,221,56,182,55,39,23,7,9,32,22,54,30,54,30,0,12
