GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Householder who is White alone,Margin of Error; Total: - Householder who is White alone,Estimate; Total: - Householder who is Black or African American alone,Margin of Error; Total: - Householder who is Black or African American alone,Estimate; Total: - Householder who is American Indian and Alaska Native alone,Margin of Error; Total: - Householder who is American Indian and Alaska Native alone,Estimate; Total: - Householder who is Asian alone,Margin of Error; Total: - Householder who is Asian alone,Estimate; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Householder who is Some other race alone,Margin of Error; Total: - Householder who is Some other race alone,Estimate; Total: - Householder who is Two or more races:,Margin of Error; Total: - Householder who is Two or more races:,Estimate; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,"Estimate; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races","Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races"
1500000US060375357022,060375357022,"Block Group 2, Census Tract 5357.02, Los Angeles County, California",339,90,159,72,0,12,0,12,0,12,0,12,180,70,0,12,0,12,0,12
1500000US060375357023,060375357023,"Block Group 3, Census Tract 5357.02, Los Angeles County, California",281,90,86,43,21,29,9,14,8,14,0,12,149,90,8,14,8,14,0,12
1500000US060375357024,060375357024,"Block Group 4, Census Tract 5357.02, Los Angeles County, California",386,98,90,50,0,12,0,12,0,12,0,12,261,91,35,35,24,26,11,20
1500000US060375358021,060375358021,"Block Group 1, Census Tract 5358.02, Los Angeles County, California",438,83,141,57,0,12,0,12,0,12,0,12,288,87,9,15,0,12,9,15
1500000US060375358022,060375358022,"Block Group 2, Census Tract 5358.02, Los Angeles County, California",196,54,60,39,0,12,0,12,0,12,0,12,126,65,10,17,0,12,10,17
1500000US060375358023,060375358023,"Block Group 3, Census Tract 5358.02, Los Angeles County, California",423,72,198,76,0,12,12,21,0,12,0,12,213,86,0,12,0,12,0,12
1500000US060375358024,060375358024,"Block Group 4, Census Tract 5358.02, Los Angeles County, California",667,88,318,79,13,17,0,12,0,12,0,12,319,87,17,20,17,20,0,12
1500000US060375358031,060375358031,"Block Group 1, Census Tract 5358.03, Los Angeles County, California",449,63,221,72,0,12,0,12,0,12,0,12,219,85,9,14,9,14,0,12
1500000US060375358032,060375358032,"Block Group 2, Census Tract 5358.03, Los Angeles County, California",328,74,160,63,0,12,0,12,8,12,0,12,139,65,21,28,21,28,0,12
1500000US060375358033,060375358033,"Block Group 3, Census Tract 5358.03, Los Angeles County, California",267,60,89,41,0,12,0,12,0,12,0,12,178,63,0,12,0,12,0,12
1500000US060375358041,060375358041,"Block Group 1, Census Tract 5358.04, Los Angeles County, California",597,85,159,76,0,12,0,12,0,12,0,12,417,108,21,24,0,12,21,24
1500000US060375358042,060375358042,"Block Group 2, Census Tract 5358.04, Los Angeles County, California",706,94,250,88,15,23,6,9,6,9,0,12,421,106,8,13,8,13,0,12
1500000US060375359011,060375359011,"Block Group 1, Census Tract 5359.01, Los Angeles County, California",264,60,137,47,0,12,0,12,0,12,0,12,120,61,7,12,0,12,7,12
1500000US060375359012,060375359012,"Block Group 2, Census Tract 5359.01, Los Angeles County, California",319,71,140,45,12,15,0,12,0,12,0,12,167,85,0,12,0,12,0,12
1500000US060375359013,060375359013,"Block Group 3, Census Tract 5359.01, Los Angeles County, California",471,82,212,71,0,12,0,12,0,12,0,12,250,95,9,13,0,12,9,13
1500000US060375359014,060375359014,"Block Group 4, Census Tract 5359.01, Los Angeles County, California",372,67,153,57,9,14,0,12,0,12,0,12,196,75,14,16,14,16,0,12
1500000US060375359021,060375359021,"Block Group 1, Census Tract 5359.02, Los Angeles County, California",302,76,213,63,0,12,0,12,0,12,0,12,76,52,13,21,0,12,13,21
1500000US060375359022,060375359022,"Block Group 2, Census Tract 5359.02, Los Angeles County, California",335,69,186,58,0,12,0,12,0,12,0,12,149,72,0,12,0,12,0,12
1500000US060375359023,060375359023,"Block Group 3, Census Tract 5359.02, Los Angeles County, California",363,71,176,61,0,12,0,12,10,16,0,12,177,81,0,12,0,12,0,12
1500000US060375359024,060375359024,"Block Group 4, Census Tract 5359.02, Los Angeles County, California",569,99,256,78,0,12,5,9,8,13,5,9,295,94,0,12,0,12,0,12
1500000US060375360001,060375360001,"Block Group 1, Census Tract 5360, Los Angeles County, California",272,56,127,47,13,18,0,12,16,26,0,12,112,48,4,13,0,12,4,13
1500000US060375360002,060375360002,"Block Group 2, Census Tract 5360, Los Angeles County, California",733,65,282,72,0,12,0,12,0,12,0,12,451,90,0,12,0,12,0,12
1500000US060375361021,060375361021,"Block Group 1, Census Tract 5361.02, Los Angeles County, California",543,83,385,89,12,19,0,12,29,27,0,12,117,82,0,12,0,12,0,12
1500000US060375361022,060375361022,"Block Group 2, Census Tract 5361.02, Los Angeles County, California",91,55,66,54,0,12,0,12,0,12,0,12,25,21,0,12,0,12,0,12
1500000US060375361023,060375361023,"Block Group 3, Census Tract 5361.02, Los Angeles County, California",402,101,285,93,0,12,0,12,33,28,0,12,84,65,0,12,0,12,0,12
1500000US060375361031,060375361031,"Block Group 1, Census Tract 5361.03, Los Angeles County, California",264,93,161,71,0,12,0,12,16,25,0,12,87,67,0,12,0,12,0,12
1500000US060375361032,060375361032,"Block Group 2, Census Tract 5361.03, Los Angeles County, California",641,111,310,110,0,12,0,12,22,25,0,12,289,116,20,23,6,10,14,21
1500000US060375361033,060375361033,"Block Group 3, Census Tract 5361.03, Los Angeles County, California",598,94,304,101,0,12,0,12,0,12,0,12,288,126,6,12,6,12,0,12
1500000US060375361041,060375361041,"Block Group 1, Census Tract 5361.04, Los Angeles County, California",337,87,102,63,11,18,17,21,0,12,0,12,207,84,0,12,0,12,0,12
1500000US060375361042,060375361042,"Block Group 2, Census Tract 5361.04, Los Angeles County, California",298,52,182,67,0,12,0,12,5,10,0,12,111,59,0,12,0,12,0,12
1500000US060375361043,060375361043,"Block Group 3, Census Tract 5361.04, Los Angeles County, California",256,71,178,60,0,12,0,12,0,12,0,12,78,48,0,12,0,12,0,12
1500000US060375361044,060375361044,"Block Group 4, Census Tract 5361.04, Los Angeles County, California",130,62,78,47,14,22,0,12,0,12,0,12,38,44,0,12,0,12,0,12
1500000US060375362001,060375362001,"Block Group 1, Census Tract 5362, Los Angeles County, California",454,106,300,94,20,32,12,18,4,8,0,12,112,71,6,12,6,12,0,12
1500000US060375362002,060375362002,"Block Group 2, Census Tract 5362, Los Angeles County, California",438,85,304,79,0,12,0,12,23,24,0,12,111,68,0,12,0,12,0,12
1500000US060375362003,060375362003,"Block Group 3, Census Tract 5362, Los Angeles County, California",277,84,166,53,0,12,0,12,29,37,0,12,82,54,0,12,0,12,0,12
1500000US060375362004,060375362004,"Block Group 4, Census Tract 5362, Los Angeles County, California",406,110,245,91,0,12,0,12,20,32,0,12,141,86,0,12,0,12,0,12
1500000US060375362005,060375362005,"Block Group 5, Census Tract 5362, Los Angeles County, California",339,86,96,47,29,22,0,12,12,19,0,12,183,95,19,22,19,22,0,12
1500000US060375400001,060375400001,"Block Group 1, Census Tract 5400, Los Angeles County, California",358,75,138,61,11,17,0,12,0,12,0,12,209,68,0,12,0,12,0,12
1500000US060375400002,060375400002,"Block Group 2, Census Tract 5400, Los Angeles County, California",388,85,86,42,45,35,0,12,0,12,0,12,238,83,19,28,19,28,0,12
