"place","year","candidates","candidates_l","seats_l","totalvotes","totalvotes_l","n_elected","n_elected_l","n_elected_a","n_elected_b","n_elected_w","prop_latino_elected","prop_asian_elected","prop_black_elected","prop_white_elected","prop_latino_ran","latino_voteshare"
"03386",2007,6,5,2,6416,5774,2,2,0,0,0,1,0,0,0,1,0.899937655860349
"03386",2009,5,3,2,4966,2918,2,1,0,0,1,0.5,0,0,0.5,1,0.587595650422876
"03386",2011,5,3,2,4542,2931,2,2,0,0,0,1,0,0,0,1,0.645310435931308
"03386",2013,6,5,2,4814,4119,2,2,0,0,0,1,0,0,0,1,0.855629414208558
"03386",2015,4,2,2,3722,2030,2,2,0,0,0,1,0,0,0,1,0.54540569586244
"03386",2017,3,3,2,5104,5104,2,2,0,0,0,1,0,0,0,1,1
"03526",1998,9,1,1,28431,1234,4,0,0,0,4,0,0,0,1,0.25,0.0434033273539446
"03526",2000,7,0,0,30146,0,3,0,0,0,3,0,0,0,1,0,0
"03526",2002,6,1,1,26729,1754,4,0,0,0,4,0,0,0,1,0.25,0.0656216094878222
"03526",2004,9,0,0,43095,0,4,0,0,0,4,0,0,0,1,0,0
"03526",2006,8,1,1,32923,1414,4,0,0,0,4,0,0,0,1,0.25,0.0429486984782675
"03526",2008,3,0,0,33329,0,3,0,0,0,3,0,0,0,1,0,0
"03526",2010,11,2,1,38374,2634,4,1,0,0,3,0.25,0,0,0.75,0.25,0.068640225152447
"03526",2012,8,0,0,52570,0,4,0,0,0,4,0,0,0,1,0,0
"03526",2013,6,2,1,2104,1209,1,1,0,0,0,1,0,0,0,1,0.574619771863118
"03526",2014,12,3,2,32369,6442,4,1,0,0,3,0.25,0,0,0.75,0.5,0.199017578547376
"03526",2016,8,1,1,44285,6369,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.143818448684656
"03526",2017,3,0,0,5881,0,1,0,0,0,1,0,0,0,1,0,0
"03526",2018,8,3,2,47491,8767,4,1,0,0,3,0.25,0,0,0.75,0.5,0.18460339853867
"03666",1999,2,1,1,3605,1893,1,1,0,0,0,1,0,0,0,1,0.525104022191401
"03666",2005,6,5,2,13882,12370,2,2,0,0,0,1,0,0,0,1,0.891081976660424
"03666",2007,5,4,2,6105,5059,2,2,0,0,0,1,0,0,0,1,0.828665028665029
"03666",2009,5,4,2,8089,7433,2,2,0,0,0,1,0,0,0,1,0.918902212881691
"03666",2011,5,4,2,6633,5697,2,2,0,0,0,1,0,0,0,1,0.858887381275441
"03666",2013,3,3,2,6827,6827,2,2,0,0,0,1,0,0,0,1,1
"03666",2015,4,4,1,6669,6669,1,1,0,0,0,1,0,0,0,1,1
"03666",2018,6,5,2,21745,19453,2,2,0,0,0,1,0,0,0,1,0.894596458956082
"03820",1998,10,1,1,12854,472,2,0,0,0,2,0,0,0,1,0.5,0.0367200871324101
"03820",2000,8,2,2,20398,4855,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0.238013530738308
"03820",2002,8,1,1,18218,1406,3,0,0,0,3,0,0,0,1,0.333333333333333,0.0771764189263366
"03820",2004,6,1,1,24247,5489,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.226378521054151
"03820",2006,3,0,0,12411,0,2,0,0,0,2,0,0,0,1,0,0
"03820",2008,7,0,0,23060,0,3,0,0,0,2,0,0,0,0.666666666666667,0,0
