GEO.id,GEO.id2,GEO.display-label,D001,D002,D003
Id,Id2,Geography,Total:,Occupied,Vacant
1500000US060371081011,060371081011,"Block Group 1, Census Tract 1081.01, Los Angeles County, California",800,789,11
1500000US060371081021,060371081021,"Block Group 1, Census Tract 1081.02, Los Angeles County, California",1253,1223,30
1500000US060371081031,060371081031,"Block Group 1, Census Tract 1081.03, Los Angeles County, California",589,578,11
1500000US060371081032,060371081032,"Block Group 2, Census Tract 1081.03, Los Angeles County, California",486,473,13
1500000US060371081041,060371081041,"Block Group 1, Census Tract 1081.04, Los Angeles County, California",587,580,7
1500000US060371082011,060371082011,"Block Group 1, Census Tract 1082.01, Los Angeles County, California",840,817,23
1500000US060371082012,060371082012,"Block Group 2, Census Tract 1082.01, Los Angeles County, California",1060,1031,29
1500000US060371082021,060371082021,"Block Group 1, Census Tract 1082.02, Los Angeles County, California",1972,1826,146
1500000US060371091001,060371091001,"Block Group 1, Census Tract 1091, Los Angeles County, California",338,319,19
1500000US060371091002,060371091002,"Block Group 2, Census Tract 1091, Los Angeles County, California",437,412,25
1500000US060371092001,060371092001,"Block Group 1, Census Tract 1092, Los Angeles County, California",235,230,5
1500000US060371092002,060371092002,"Block Group 2, Census Tract 1092, Los Angeles County, California",350,339,11
1500000US060371092003,060371092003,"Block Group 3, Census Tract 1092, Los Angeles County, California",314,304,10
1500000US060371093001,060371093001,"Block Group 1, Census Tract 1093, Los Angeles County, California",260,254,6
1500000US060371093002,060371093002,"Block Group 2, Census Tract 1093, Los Angeles County, California",378,370,8
1500000US060371093003,060371093003,"Block Group 3, Census Tract 1093, Los Angeles County, California",260,253,7
1500000US060371094001,060371094001,"Block Group 1, Census Tract 1094, Los Angeles County, California",321,303,18
1500000US060371094002,060371094002,"Block Group 2, Census Tract 1094, Los Angeles County, California",313,306,7
1500000US060371094003,060371094003,"Block Group 3, Census Tract 1094, Los Angeles County, California",434,412,22
1500000US060371095001,060371095001,"Block Group 1, Census Tract 1095, Los Angeles County, California",277,265,12
1500000US060371095002,060371095002,"Block Group 2, Census Tract 1095, Los Angeles County, California",464,441,23
1500000US060371095003,060371095003,"Block Group 3, Census Tract 1095, Los Angeles County, California",313,299,14
1500000US060371096011,060371096011,"Block Group 1, Census Tract 1096.01, Los Angeles County, California",327,317,10
1500000US060371096012,060371096012,"Block Group 2, Census Tract 1096.01, Los Angeles County, California",299,288,11
1500000US060371096013,060371096013,"Block Group 3, Census Tract 1096.01, Los Angeles County, California",349,334,15
1500000US060371096014,060371096014,"Block Group 4, Census Tract 1096.01, Los Angeles County, California",348,337,11
1500000US060371096031,060371096031,"Block Group 1, Census Tract 1096.03, Los Angeles County, California",446,426,20
1500000US060371096032,060371096032,"Block Group 2, Census Tract 1096.03, Los Angeles County, California",421,406,15
1500000US060371096033,060371096033,"Block Group 3, Census Tract 1096.03, Los Angeles County, California",449,433,16
1500000US060371096041,060371096041,"Block Group 1, Census Tract 1096.04, Los Angeles County, California",291,279,12
1500000US060371096042,060371096042,"Block Group 2, Census Tract 1096.04, Los Angeles County, California",268,258,10
1500000US060371096043,060371096043,"Block Group 3, Census Tract 1096.04, Los Angeles County, California",361,352,9
1500000US060371097001,060371097001,"Block Group 1, Census Tract 1097, Los Angeles County, California",441,424,17
1500000US060371097002,060371097002,"Block Group 2, Census Tract 1097, Los Angeles County, California",642,614,28
1500000US060371097003,060371097003,"Block Group 3, Census Tract 1097, Los Angeles County, California",317,310,7
1500000US060371098001,060371098001,"Block Group 1, Census Tract 1098, Los Angeles County, California",351,338,13
1500000US060371098002,060371098002,"Block Group 2, Census Tract 1098, Los Angeles County, California",309,293,16
1500000US060371098003,060371098003,"Block Group 3, Census Tract 1098, Los Angeles County, California",412,399,13
1500000US060371098004,060371098004,"Block Group 4, Census Tract 1098, Los Angeles County, California",388,372,16
1500000US060371111001,060371111001,"Block Group 1, Census Tract 1111, Los Angeles County, California",430,419,11
1500000US060371111002,060371111002,"Block Group 2, Census Tract 1111, Los Angeles County, California",512,494,18
1500000US060371112011,060371112011,"Block Group 1, Census Tract 1112.01, Los Angeles County, California",377,364,13
1500000US060371112012,060371112012,"Block Group 2, Census Tract 1112.01, Los Angeles County, California",486,471,15
1500000US060371112013,060371112013,"Block Group 3, Census Tract 1112.01, Los Angeles County, California",267,258,9
1500000US060371112021,060371112021,"Block Group 1, Census Tract 1112.02, Los Angeles County, California",478,458,20
1500000US060371112022,060371112022,"Block Group 2, Census Tract 1112.02, Los Angeles County, California",643,604,39
1500000US060371112023,060371112023,"Block Group 3, Census Tract 1112.02, Los Angeles County, California",817,774,43
1500000US060371112041,060371112041,"Block Group 1, Census Tract 1112.04, Los Angeles County, California",773,761,12
1500000US060371112042,060371112042,"Block Group 2, Census Tract 1112.04, Los Angeles County, California",634,619,15
1500000US060371112043,060371112043,"Block Group 3, Census Tract 1112.04, Los Angeles County, California",548,537,11
1500000US060371112051,060371112051,"Block Group 1, Census Tract 1112.05, Los Angeles County, California",557,537,20
1500000US060371112052,060371112052,"Block Group 2, Census Tract 1112.05, Los Angeles County, California",265,259,6
1500000US060371112053,060371112053,"Block Group 3, Census Tract 1112.05, Los Angeles County, California",476,450,26
1500000US060371112061,060371112061,"Block Group 1, Census Tract 1112.06, Los Angeles County, California",318,313,5
1500000US060371112062,060371112062,"Block Group 2, Census Tract 1112.06, Los Angeles County, California",306,300,6
1500000US060371112063,060371112063,"Block Group 3, Census Tract 1112.06, Los Angeles County, California",304,296,8
1500000US060371112064,060371112064,"Block Group 4, Census Tract 1112.06, Los Angeles County, California",281,271,10
1500000US060371112065,060371112065,"Block Group 5, Census Tract 1112.06, Los Angeles County, California",329,317,12
1500000US060371113011,060371113011,"Block Group 1, Census Tract 1113.01, Los Angeles County, California",582,567,15
1500000US060371113012,060371113012,"Block Group 2, Census Tract 1113.01, Los Angeles County, California",669,621,48
1500000US060371113013,060371113013,"Block Group 3, Census Tract 1113.01, Los Angeles County, California",856,817,39
1500000US060371113014,060371113014,"Block Group 4, Census Tract 1113.01, Los Angeles County, California",671,630,41
1500000US060371113021,060371113021,"Block Group 1, Census Tract 1113.02, Los Angeles County, California",536,501,35
1500000US060371113022,060371113022,"Block Group 2, Census Tract 1113.02, Los Angeles County, California",1379,1309,70
1500000US060371114001,060371114001,"Block Group 1, Census Tract 1114, Los Angeles County, California",767,749,18
1500000US060371114002,060371114002,"Block Group 2, Census Tract 1114, Los Angeles County, California",743,710,33
1500000US060371114003,060371114003,"Block Group 3, Census Tract 1114, Los Angeles County, California",1337,1293,44
