city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources,
Anaheim,DEV2015-00014,7983 Jackson Way,1,456,0,456,456,0,456,1,2018-10-29,1,2018-11-20,1,,2018,0,"3651 units split over 8 BGs, Beach Boulevard",,
Anaheim,DEV2015-00015,8708 Stanton Ave,1,456,0,456,456,0,456,1,2018-10-30,1,2018-11-21,1,,2018,0,"3652 units split over 8 BGs, Beach Boulevard",,
Anaheim,DEV2015-00016,225 N State College Blvd,1,456,0,456,456,0,456,1,2018-10-31,1,2018-11-22,1,,2018,0,"3653 units split over 8 BGs, Beach Boulevard",,
Anaheim,DEV2015-00017,207 S Laxore St,1,456,0,456,456,0,456,1,2018-11-01,1,2018-11-23,1,,2018,0,"3654 units split over 8 BGs, Beach Boulevard",,
Anaheim,DEV2015-00018,300 S Laxore St,1,456,0,456,456,0,456,1,2018-11-02,1,2018-11-24,1,,2018,0,"3655 units split over 8 BGs, Beach Boulevard",,
Anaheim,DEV2015-00019,3055 W Orange Ave,1,456,0,456,456,0,456,1,2018-11-03,1,2018-11-25,1,,2018,0,"3656 units split over 8 BGs, Beach Boulevard",,
Anaheim,DEV2015-00020,601 S Gaymont St,1,456,0,456,456,0,456,1,2018-11-04,1,2018-11-26,1,,2018,0,"3657 units split over 8 BGs, Beach Boulevard",,
Anaheim,DEV2015-00021,2801 W Lynrose Dr,1,456,0,456,456,0,456,1,2018-11-05,1,2018-11-27,1,,2018,0,"3658 units split over 8 BGs, Beach Boulevard",,
Anaheim,3517303,700 E SYCAMORE ST,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,3517304,704 E SYCAMORE ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3517306,709 E ADELE ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3517307,709 E ADELE ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3517308,701 E ADELE ST,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,3517313,708 E SYCAMORE ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3517315,611 E ADELE ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3517602,114 W ADELE ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3517606,115 W ADELE ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3517610,116 W ADELE ST,1,23,0,23,23,0,23,0,,,,,,2013,0,by right change,,
Anaheim,3517614,117 W ADELE ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3517603,118 W ADELE ST,1,1,1,0,1,1,0,0,,,,,,2013,0,by right change,,
