"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant"
"1600000US0686734","Yettem CDP, California","102","68","84","72","18","29"
"1600000US0686804","Yolo CDP, California","168","55","153","57","15","23"
"1600000US0687090","Zayante CDP, California","395","76","361","77","34","41"
"1600000US0612314","Cedar Slope CDP, California","21","31","0","12","21","31"
"1600000US0612328","Cedarville CDP, California","256","62","167","55","89","39"
"1600000US0612412","Centerville CDP, California","142","47","119","42","23","28"
"1600000US0612594","Chalfant CDP, California","276","97","253","88","23","36"
"1600000US0612818","Cherokee CDP, California","43","30","43","30","0","12"
"1600000US0612860","Cherokee Strip CDP, California","54","30","49","29","5","10"
"1600000US0613784","Clarksburg CDP, California","172","83","172","83","0","12"
"1600000US0613854","Clay CDP, California","425","64","407","64","18","27"
"1600000US0613910","Clear Creek CDP, California","222","72","74","44","148","67"
"1600000US0648998","Montgomery Creek CDP, California","78","34","45","25","33","25"
"1600000US0671225","Shasta Lake city, California","4079","218","3767","169","312","121"
"1600000US0649628","Mountain Ranch CDP, California","920","229","690","206","230","129"
"1600000US0617162","Crestline CDP, California","7396","177","3729","304","3667","307"
"1600000US0630658","Grand Terrace city, California","4635","259","4392","271","243","127"
"1600000US0633434","Hesperia city, California","27951","580","26492","515","1459","292"
"1600000US0639444","Lake Arrowhead CDP, California","12066","173","3764","362","8302","376"
"1600000US0687042","Yucaipa city, California","19683","482","18445","437","1238","371"
"1600000US0636868","Isla Vista CDP, California","5718","298","5390","297","328","122"
"1600000US0648186","Mission Hills CDP, California","1321","101","1313","100","8","13"
"1600000US0662910","Rosemont CDP, California","8966","80","8383","206","583","187"
"1600000US0631890","Hamilton City CDP, California","724","87","682","92","42","27"
"1600000US0606406","Big Bear City CDP, California","12872","210","5446","390","7426","375"
"1600000US0613214","Chino Hills city, California","25588","468","24374","485","1214","291"
"1600000US0624680","Fontana city, California","55561","911","53510","833","2051","319"
"1600000US0659451","Rancho Cucamonga city, California","58649","1021","55950","952","2699","590"
"1600000US0681344","Upland city, California","27795","475","26875","429","920","238"
"1600000US0648641","Mono Vista CDP, California","1655","180","1370","193","285","144"
